,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
39,Makakilo City,21.35,82.81,65,40,9.17
40,Bilibino,68.06,18.63,78,100,3.44
41,Ushuaia,-54.81,33.8,98,90,32.21
42,Qaanaaq,77.48,-0.01,57,14,6.51
43,Hasaki,35.73,65.01,63,20,10.29
44,Likhoslavl,57.12,30.0,95,100,6.17
45,Puerto Ayora,-0.74,69.01,92,5,4.0
46,Tasiilaq,65.61,24.8,68,100,5.82
47,Cape Town,-33.93,58.24,62,75,4.7
48,Rikitea,-23.12,77.59,72,0,3.76
49,San Cristobal,14.68,64.2,95,100,2.08
50,Carnarvon,-30.97,44.56,71,0,14.79
51,Lagunas,-5.23,74.26,95,76,4.25
52,Torbay,47.66,42.67,81,20,29.97
53,Zonguldak,41.25,50.97,63,82,5.73
54,Punta Arenas,-53.16,37.22,68,75,33.33
55,Iqaluit,63.75,6.42,71,20,8.05
56,Ushuaia,-54.81,33.8,98,90,32.21
57,Riosucio,5.42,71.6,88,40,11.41
58,Georgetown,6.8,79.47,83,40,9.17
59,Srednekolymsk,67.46,9.73,94,100,3.71
60,Bilibino,68.06,18.63,78,100,3.44
61,Bethel,60.79,34.39,90,90,12.75
62,Punta Arenas,-53.16,37.22,68,75,33.33
63,Sao Joao Da Barra,-21.64,72.5,87,100,11.03
64,Bluff,-23.58,88.39,19,0,3.22
65,Marzuq,14.4,59.23,37,0,1.57
66,Warwick,41.7,35.6,65,1,5.82
67,Rikitea,-23.12,77.59,72,0,3.76
68,Avarua,-21.21,77.0,78,10,9.17
69,Port Alberni,49.24,45.25,87,90,2.24
70,Mar Del Plata,-46.43,49.62,31,0,33.98
71,Rikitea,-23.12,77.59,72,0,3.76
72,Hermanus,-34.42,56.79,69,99,11.99
73,Zhuhai,40.71,35.6,55,0,6.71
74,Charleston,32.79,62.33,88,20,6.93
75,Narsaq,60.91,26.6,58,68,3.36
76,Kapaa,22.08,82.44,65,40,17.22
77,Lata,30.78,27.25,58,100,4.68
78,Hambantota,6.12,79.92,75,73,6.51
79,Norman Wells,65.28,10.4,78,75,5.82
80,La Orilla,18.0,77.49,90,26,2.39
81,Taksimo,56.36,3.47,89,100,1.16
82,Albany,42.65,32.49,59,90,3.36
83,Constantine,36.36,50.0,81,75,10.29
84,Atambua,-9.11,85.44,56,8,5.79
85,Pisco,-13.71,63.28,88,0,14.99
86,New Norfolk,-42.78,51.1,58,75,23.04
87,Ambon,47.55,46.81,87,20,9.17
88,Baykit,61.68,10.53,96,100,1.99
89,Jamestown,-33.21,65.84,41,28,16.15
90,Hobart,-42.88,51.08,58,75,23.04
91,Algiers,29.94,68.09,88,40,3.36
92,Muros,42.77,50.88,100,40,3.36
93,Kaitangata,-46.28,61.0,73,67,8.01
94,Uvira,-3.41,51.4,81,27,1.07
95,Jamestown,-33.21,65.84,41,28,16.15
96,Lavrentiya,65.58,27.28,80,4,14.29
97,Bonthe,7.53,78.35,87,0,4.07
98,Catalina,-13.57,63.28,88,0,14.99
99,Kamaishi,39.28,48.2,81,75,1.12
100,Ushuaia,-54.81,33.8,98,90,32.21
101,Avarua,-21.21,77.0,78,10,9.17
102,Onega,63.91,28.69,82,100,5.53
103,Puerto Ayora,-0.74,69.01,92,5,4.0
104,Hiriyur,13.94,75.34,70,32,0.07
105,Jamestown,-33.21,65.84,41,28,16.15
106,Faanui,-16.48,80.83,81,3,16.42
107,Yellowknife,62.45,7.92,92,20,4.7
108,Meulaboh,4.14,80.62,79,83,9.51
109,Hami,42.84,53.83,24,98,10.33
110,Pascagoula,30.37,66.51,100,1,3.71
111,Kodiak,39.95,36.57,64,90,23.04
112,Portland,43.66,31.37,44,1,5.82
113,Mar Del Plata,-46.43,49.62,31,0,33.98
114,Mataura,-46.19,66.67,69,100,2.68
115,Vaini,15.34,66.2,100,40,1.25
116,Atasu,48.68,27.66,67,90,12.75
117,Peniche,39.36,58.44,100,75,17.22
118,Rikitea,-23.12,77.59,72,0,3.76
119,Souillac,45.6,53.42,87,90,16.11
120,Arraial Do Cabo,-22.97,72.39,85,100,7.49
121,Hirara,24.8,77.94,83,75,8.05
122,Bethel,60.79,34.39,90,90,12.75
123,Cape Town,-33.93,58.24,62,75,4.7
124,Chokurdakh,70.62,10.81,96,99,4.07
125,Taltal,-25.41,53.85,80,0,1.05
126,Nantucket,41.28,39.92,70,1,5.82
127,Busselton,-33.64,70.95,34,0,4.12
128,Port Alfred,-33.59,62.01,88,100,5.01
129,Saint Anthony,43.97,40.03,39,1,6.93
130,Debre Tabor,11.86,55.42,75,14,3.02
131,Kahului,20.89,78.58,69,75,20.8
132,Kyrksaeterora,63.29,23.34,85,72,2.24
133,Qaanaaq,77.48,-0.01,57,14,6.51
134,Baykit,61.68,10.53,96,100,1.99
135,Hermanus,-34.42,56.79,69,99,11.99
136,Yellowknife,62.45,7.92,92,20,4.7
137,Ushuaia,-54.81,33.8,98,90,32.21
138,Carutapera,-1.2,81.1,81,10,12.24
139,Pangnirtung,66.15,20.61,70,97,8.99
140,Talnakh,69.49,14.0,85,75,15.66
141,Esperance,-33.86,60.8,67,90,12.75
142,Bluff,-23.58,88.39,19,0,3.22
143,Wattegama,7.35,79.81,70,90,2.44
144,Kodiak,39.95,36.57,64,90,23.04
145,Severo-Kurilsk,50.68,36.81,78,39,14.81
146,Provideniya,64.42,30.2,58,0,11.18
147,Mataura,-46.19,66.67,69,100,2.68
148,Hobart,-42.88,51.08,58,75,23.04
149,Havre-Saint-Pierre,50.23,26.6,49,1,21.92
150,Esperance,-33.86,60.8,67,90,12.75
151,Punta Arenas,-53.16,37.22,68,75,33.33
152,Abonnema,4.71,77.47,90,100,4.65
153,Coahuayana,18.62,73.35,84,26,3.15
154,Vaini,15.34,66.2,100,40,1.25
155,Atuona,-9.8,80.31,77,100,17.25
156,Tuktoyaktuk,69.44,23.0,92,90,6.93
157,Bluff,-23.58,88.39,19,0,3.22
158,Ushuaia,-54.81,33.8,98,90,32.21
159,Verkhnevilyuysk,63.45,-5.05,88,86,4.21
160,Saint George,39.45,53.6,93,20,1.03
161,Longyearbyen,78.22,12.2,72,20,3.36
162,Avarua,-21.21,77.0,78,10,9.17
163,Busselton,-33.64,70.95,34,0,4.12
164,Ewa Beach,21.32,82.81,55,75,12.75
165,Dingle,11.0,82.78,80,33,15.35
166,Punta Arenas,-53.16,37.22,68,75,33.33
167,Qaanaaq,77.48,-0.01,57,14,6.51
168,Mount Gambier,-37.83,57.2,87,90,20.8
169,Ulundi,-28.29,69.87,62,0,4.12
170,Butaritari,3.07,84.61,74,68,10.22
171,Lavrentiya,65.58,27.28,80,4,14.29
172,Guayaramerin,-10.82,74.98,93,100,1.16
173,Mahebourg,-20.41,73.71,83,75,9.17
174,Lagoa,37.14,59.0,87,20,5.82
175,Nikolskoye,59.7,24.46,73,100,11.18
176,Bethel,60.79,34.39,90,90,12.75
177,Ushuaia,-54.81,33.8,98,90,32.21
178,Clyde River,70.47,26.6,92,90,12.75
179,Albany,42.65,32.49,59,90,3.36
180,Yellowknife,62.45,7.92,92,20,4.7
181,Kodiak,39.95,36.57,64,90,23.04
182,Butaritari,3.07,84.61,74,68,10.22
183,Longyearbyen,78.22,12.2,72,20,3.36
184,Phaltan,17.99,75.67,72,5,2.24
185,San Isidro,10.02,70.29,68,75,14.99
186,Iwanai,42.97,35.58,97,100,3.2
187,Margate,-43.03,50.9,58,75,23.04
188,Tuktoyaktuk,69.44,23.0,92,90,6.93
189,Souillac,45.6,53.42,87,90,16.11
190,Busselton,-33.64,70.95,34,0,4.12
191,Lebu,8.96,53.6,66,20,3.36
192,Thompson,55.74,3.2,77,90,3.36
193,Ushuaia,-54.81,33.8,98,90,32.21
194,Punta Arenas,-53.16,37.22,68,75,33.33
195,Kudahuvadhoo,2.67,82.56,75,70,10.78
196,Bethel,60.79,34.39,90,90,12.75
197,Talnakh,69.49,14.0,85,75,15.66
198,Qaanaaq,77.48,-0.01,57,14,6.51
199,Hobart,-42.88,51.08,58,75,23.04
200,Mount Isa,-20.73,93.2,6,0,9.17
201,Thompson,55.74,3.2,77,90,3.36
202,Atuona,-9.8,80.31,77,100,17.25
203,Puerto Ayora,-0.74,69.01,92,5,4.0
204,Cape Town,-33.93,58.24,62,75,4.7
205,Luanda,-8.83,77.0,88,40,2.24
206,Cherskiy,68.75,27.84,74,100,10.94
207,Barguzin,53.62,30.52,85,100,11.25
208,Bambous Virieux,-20.34,73.71,83,75,9.17
209,Longyearbyen,78.22,12.2,72,20,3.36
210,Benemerito De Las Americas,16.52,70.88,97,6,1.5
211,Beian,63.66,24.46,68,40,6.93
212,Bathsheba,13.22,84.2,70,40,26.4
213,Bluff,-23.58,88.39,19,0,3.22
214,Qaanaaq,77.48,-0.01,57,14,6.51
215,Kaitangata,-46.28,61.0,73,67,8.01
216,Grand Gaube,-20.01,73.63,83,75,9.17
217,San Quintin,17.54,84.61,75,6,3.89
218,Rikitea,-23.12,77.59,72,0,3.76
219,Bambous Virieux,-20.34,73.71,83,75,9.17
220,Bambous Virieux,-20.34,73.71,83,75,9.17
221,Port Elizabeth,39.31,40.06,80,1,3.22
222,Butaritari,3.07,84.61,74,68,10.22
223,Provideniya,64.42,30.2,58,0,11.18
224,Punta Arenas,-53.16,37.22,68,75,33.33
225,Puerto Ayora,-0.74,69.01,92,5,4.0
226,Ushuaia,-54.81,33.8,98,90,32.21
227,Caravelas,-17.73,71.73,94,3,3.94
228,Rikitea,-23.12,77.59,72,0,3.76
229,Cape Town,-33.93,58.24,62,75,4.7
230,Dikson,73.51,-11.64,93,1,11.81
231,Valday,57.98,25.84,84,100,3.91
232,Puerto Ayora,-0.74,69.01,92,5,4.0
233,Sao Filipe,14.9,74.84,80,2,18.66
234,Qaanaaq,77.48,-0.01,57,14,6.51
235,Provideniya,64.42,30.2,58,0,11.18
236,East London,-33.02,65.8,79,100,15.05
237,Avarua,-21.21,77.0,78,10,9.17
238,Mataura,-46.19,66.67,69,100,2.68
239,Santa Cruz Do Rio Pardo,-22.91,64.13,82,48,12.84
240,Veinticinco De Mayo,-27.38,72.0,92,36,2.01
241,Norman Wells,65.28,10.4,78,75,5.82
242,Hermanus,-34.42,56.79,69,99,11.99
243,Castro,-42.48,35.46,97,97,1.81
244,Manono,-7.3,67.03,96,18,2.48
245,Arraial Do Cabo,-22.97,72.39,85,100,7.49
246,Hobart,-42.88,51.08,58,75,23.04
247,Vanimo,-2.67,82.54,69,98,3.24
248,Port Alfred,-33.59,62.01,88,100,5.01
249,Saskylakh,71.97,-22.58,97,0,5.93
250,Ribeira Grande,38.52,60.62,85,100,7.29
251,Ladario,40.7,49.53,97,87,5.99
252,Havre,48.55,-0.13,91,1,4.14
253,Busselton,-33.64,70.95,34,0,4.12
254,Hermanus,-34.42,56.79,69,99,11.99
255,Kalawit,7.91,81.12,80,95,9.48
256,Provideniya,64.42,30.2,58,0,11.18
257,Mackay,53.65,17.62,78,40,4.7
258,Novki,56.36,49.06,91,100,15.26
259,San Patricio,-26.98,71.02,94,69,4.76
260,Bluff,-23.58,88.39,19,0,3.22
261,Busselton,-33.64,70.95,34,0,4.12
262,Punta Arenas,-53.16,37.22,68,75,33.33
263,Luanda,-8.83,77.0,88,40,2.24
264,Thompson,55.74,3.2,77,90,3.36
265,Punta Arenas,-53.16,37.22,68,75,33.33
266,Busselton,-33.64,70.95,34,0,4.12
267,Salmas,38.2,35.6,33,0,6.93
268,Berezovyy,51.67,18.84,35,70,8.77
269,New Norfolk,-42.78,51.1,58,75,23.04
270,Punta Arenas,-53.16,37.22,68,75,33.33
271,Santa Cruz,-6.22,68.45,95,0,6.49
272,Tiksi,71.64,-12.39,99,89,3.53
273,Carnarvon,-30.97,44.56,71,0,14.79
274,Tiksi,71.64,-12.39,99,89,3.53
275,Hilo,19.71,73.83,66,1,6.93
276,Mataura,-46.19,66.67,69,100,2.68
277,Viedma,-40.81,63.18,47,99,19.69
278,Mamallapuram,12.63,79.57,94,20,2.24
279,Punta Arenas,-53.16,37.22,68,75,33.33
280,Ylojarvi,61.56,12.2,92,100,4.7
281,Hermanus,-34.42,56.79,69,99,11.99
282,Punta Arenas,-53.16,37.22,68,75,33.33
283,Hermanus,-34.42,56.79,69,99,11.99
284,Kailua,21.39,83.12,69,40,13.87
285,Progreso,-34.68,67.55,59,74,4.7
286,Bredasdorp,-34.53,57.29,54,23,17.22
287,Port Blair,11.67,82.6,82,100,17.52
288,Barrow,-38.31,61.7,39,20,10.11
289,Yellowknife,62.45,7.92,92,20,4.7
290,Vaini,15.34,66.2,100,40,1.25
291,Thompson,55.74,3.2,77,90,3.36
292,Albany,42.65,32.49,59,90,3.36
293,Misratah,32.38,72.07,84,56,26.8
294,Kiama,-34.67,73.45,23,0,28.86
295,Gambela,8.25,71.51,79,94,4.12
296,Camacha,33.08,67.23,68,75,12.75
297,Mirnyy,56.57,33.03,92,100,8.43
298,Khatanga,71.98,-8.2,81,47,9.13
299,Port Alfred,-33.59,62.01,88,100,5.01
300,Dickinson,46.88,6.8,71,1,3.36
301,Chapais,49.78,19.4,85,90,9.17
302,Ambulu,-8.35,78.66,75,0,7.36
303,Jamestown,-33.21,65.84,41,28,16.15
304,Ouahigouya,13.58,82.63,23,5,6.08
305,Shaki,39.56,32.0,39,0,6.93
306,Rikitea,-23.12,77.59,72,0,3.76
307,Waingapu,-9.65,82.4,68,0,1.25
308,Severo-Yeniseyskiy,60.37,22.95,93,100,5.28
309,Pansemal,21.66,79.7,67,0,6.78
310,Mar Del Plata,-46.43,49.62,31,0,33.98
311,Leningradskiy,69.38,18.12,87,64,17.13
312,Lavrentiya,65.58,27.28,80,4,14.29
313,Hilo,19.71,73.83,66,1,6.93
314,Mar Del Plata,-46.43,49.62,31,0,33.98
315,Port Hardy,50.7,48.2,87,90,2.66
316,Vila Franca Do Campo,37.72,62.6,77,75,2.24
317,Krasnyy,53.81,55.99,52,100,7.0
318,Coquimbo,-29.95,55.4,87,0,2.24
319,Idah,7.11,73.58,95,12,3.6
320,Jamestown,-33.21,65.84,41,28,16.15
321,Hilo,19.71,73.83,66,1,6.93
322,Brownsville,25.91,77.0,78,90,9.17
323,Namibe,-15.19,73.87,80,75,11.01
324,Kaitangata,-46.28,61.0,73,67,8.01
325,Srednekolymsk,67.46,9.73,94,100,3.71
326,Bilibino,68.06,18.63,78,100,3.44
327,Rikitea,-23.12,77.59,72,0,3.76
328,Hermanus,-34.42,56.79,69,99,11.99
329,Yellowknife,62.45,7.92,92,20,4.7
330,Hermanus,-34.42,56.79,69,99,11.99
331,Norman Wells,65.28,10.4,78,75,5.82
332,Labelle,26.76,77.61,83,20,6.93
333,Port Alfred,-33.59,62.01,88,100,5.01
334,Avarua,-21.21,77.0,78,10,9.17
335,Singaraja,-8.11,82.4,65,0,4.68
336,Bonthe,7.53,78.35,87,0,4.07
337,Maskinonge,46.23,31.96,74,90,3.36
338,Nikolskoye,59.7,24.46,73,100,11.18
339,Tiksi,71.64,-12.39,99,89,3.53
340,Horsham,-36.71,58.33,61,100,16.55
341,Bluff,-23.58,88.39,19,0,3.22
342,Sacramento,38.58,65.07,37,20,3.71
343,Mataura,-46.19,66.67,69,100,2.68
344,Lorengau,-2.02,84.29,67,88,8.66
345,Mataura,-46.19,66.67,69,100,2.68
346,Khatanga,71.98,-8.2,81,47,9.13
347,Bluff,-23.58,88.39,19,0,3.22
348,Longyearbyen,78.22,12.2,72,20,3.36
349,Vila,45.18,44.46,100,75,1.12
350,Thompson,55.74,3.2,77,90,3.36
351,Noumea,-22.28,80.31,44,0,11.41
352,Rio Brilhante,-21.8,73.67,94,100,4.47
353,Imbituba,-28.24,69.8,77,75,4.7
354,Fortuna,40.6,48.67,100,90,3.36
355,Hermanus,-34.42,56.79,69,99,11.99
356,Dublin,53.35,41.27,93,75,14.99
357,Saint-Philippe,45.36,38.05,55,90,9.17
358,Pringsewu,-5.36,85.5,53,3,5.79
359,Rikitea,-23.12,77.59,72,0,3.76
360,Vostok,46.45,14.77,72,100,11.25
361,Sa Kaeo,13.8,83.3,65,100,1.72
362,Katsuura,33.93,59.99,62,75,4.7
363,Upernavik,72.79,24.15,93,100,3.69
364,Rikitea,-23.12,77.59,72,0,3.76
365,Arlit,18.74,81.36,15,0,10.65
366,Norman Wells,65.28,10.4,78,75,5.82
367,Chara,39.42,53.6,93,20,1.03
368,Saint George,39.45,53.6,93,20,1.03
369,Pangkalanbuun,-2.68,91.8,46,100,4.29
370,Bredasdorp,-34.53,57.29,54,23,17.22
371,Andijon,40.76,31.32,80,0,6.71
372,Hobart,-42.88,51.08,58,75,23.04
373,Kapaa,22.08,82.44,65,40,17.22
374,Jamestown,-33.21,65.84,41,28,16.15
375,Rikitea,-23.12,77.59,72,0,3.76
376,Bluff,-23.58,88.39,19,0,3.22
377,Husavik,50.56,12.13,73,5,7.87
378,Mataura,-46.19,66.67,69,100,2.68
379,Ushuaia,-54.81,33.8,98,90,32.21
380,Busselton,-33.64,70.95,34,0,4.12
381,Necochea,-38.55,70.0,65,16,3.0
382,Ribeira Grande,38.52,60.62,85,100,7.29
383,Ushuaia,-54.81,33.8,98,90,32.21
384,Horasan,40.04,33.55,45,0,0.92
385,Bourail,-21.57,77.27,45,0,11.9
386,Busselton,-33.64,70.95,34,0,4.12
387,Majene,-3.54,86.41,56,19,5.01
388,Vaini,15.34,66.2,100,40,1.25
389,Olga,34.11,62.13,68,1,4.7
390,Hobart,-42.88,51.08,58,75,23.04
391,Nikolskoye,59.7,24.46,73,100,11.18
392,Iskateley,67.68,10.02,95,9,4.36
393,Sesheke,-17.47,73.4,38,42,2.24
394,Tiksi,71.64,-12.39,99,89,3.53
395,Bredasdorp,-34.53,57.29,54,23,17.22
396,Mugur-Aksy,50.38,19.94,83,86,3.94
397,Busselton,-33.64,70.95,34,0,4.12
398,Virginia Beach,36.85,44.46,93,1,10.0
399,Kahului,20.89,78.58,69,75,20.8
400,Vostok,46.45,14.77,72,100,11.25
401,Saint-Philippe,45.36,38.05,55,90,9.17
402,Berlevag,70.86,23.0,92,75,2.24
403,Sarakhs,36.54,38.7,19,0,3.51
404,Rikitea,-23.12,77.59,72,0,3.76
405,Ushuaia,-54.81,33.8,98,90,32.21
406,Punta Arenas,-53.16,37.22,68,75,33.33
407,Lovozero,68.01,10.31,99,86,2.17
408,Gualaquiza,-3.4,61.83,98,55,1.39
409,Torbay,47.66,42.67,81,20,29.97
410,Barrow,-38.31,61.7,39,20,10.11
411,Busselton,-33.64,70.95,34,0,4.12
412,Thinadhoo,0.53,82.38,74,24,10.87
413,Biratnagar,26.46,74.55,59,9,4.25
414,Busselton,-33.64,70.95,34,0,4.12
415,Berlevag,70.86,23.0,92,75,2.24
416,San Quintin,17.54,84.61,75,6,3.89
417,Vaini,15.34,66.2,100,40,1.25
418,Talnakh,69.49,14.0,85,75,15.66
419,Coquimbo,-29.95,55.4,87,0,2.24
420,Lebu,8.96,53.6,66,20,3.36
421,Jamestown,-33.21,65.84,41,28,16.15
422,Dikson,73.51,-11.64,93,1,11.81
423,Norman Wells,65.28,10.4,78,75,5.82
424,Rikitea,-23.12,77.59,72,0,3.76
425,North Bend,43.41,45.05,100,1,8.05
426,Bredasdorp,-34.53,57.29,54,23,17.22
427,Kapaa,22.08,82.44,65,40,17.22
428,Zarechnyy,60.99,14.95,94,91,6.44
429,Kloulklubed,7.04,82.4,83,90,13.87
430,Mahebourg,-20.41,73.71,83,75,9.17
431,Ust-Omchug,61.13,11.07,94,100,10.04
432,Hofn,64.25,36.82,78,100,12.44
433,Victoria,5.28,84.09,74,75,3.36
434,Cidreira,-30.17,67.59,77,31,25.19
435,Apodi,-5.66,74.5,72,0,10.85
436,Puerto Ayora,-0.74,69.01,92,5,4.0
437,Ust-Kulom,61.69,12.02,96,100,4.85
438,Puerto Ayora,-0.74,69.01,92,5,4.0
439,Palu,-0.9,84.56,55,36,2.86
440,Hithadhoo,-0.6,82.45,68,100,6.02
441,Punta Arenas,-53.16,37.22,68,75,33.33
442,Riacho De Santana,-13.61,77.58,38,0,8.97
443,Deputatskiy,69.3,-0.98,96,96,4.92
444,Mahebourg,-20.41,73.71,83,75,9.17
445,Presidencia Roque Saenz Pena,-26.79,71.04,95,99,2.89
446,Babstovo,48.12,17.98,37,89,15.86
447,Iqaluit,63.75,6.42,71,20,8.05
448,Hermanus,-34.42,56.79,69,99,11.99
449,Avarua,-21.21,77.0,78,10,9.17
450,Belmonte,40.36,51.28,99,87,18.01
451,Maldonado,-34.91,64.4,68,98,11.48
452,Airai,-8.93,86.16,36,17,8.68
453,Dikson,73.51,-11.64,93,1,11.81
454,Rancho Palos Verdes,33.75,61.56,82,40,5.82
455,Hamilton,43.26,37.96,93,90,4.7
456,Yima,34.75,60.89,49,88,6.17
457,Butaritari,3.07,84.61,74,68,10.22
458,Guerrero Negro,27.97,64.24,86,100,10.36
459,Huayang,23.62,72.03,44,36,10.4
460,Butaritari,3.07,84.61,74,68,10.22
461,Ahipara,-35.17,66.92,76,24,13.42
462,Leningradskiy,69.38,18.12,87,64,17.13
463,Hobart,-42.88,51.08,58,75,23.04
464,Dikson,73.51,-11.64,93,1,11.81
465,Ushuaia,-54.81,33.8,98,90,32.21
466,Ushuaia,-54.81,33.8,98,90,32.21
467,Poum,41.28,50.99,93,100,5.28
468,Yakima,46.6,43.93,80,1,0.49
469,Bontang,0.12,85.06,68,100,8.37
470,Hamilton,43.26,37.96,93,90,4.7
471,Puerto Ayora,-0.74,69.01,92,5,4.0
472,Sabang,13.8,81.0,88,88,5.01
473,Omboue,-1.57,73.78,97,91,1.81
474,Mount Isa,-20.73,93.2,6,0,9.17
475,Rikitea,-23.12,77.59,72,0,3.76
476,Bredasdorp,-34.53,57.29,54,23,17.22
477,Airai,-8.93,86.16,36,17,8.68
478,Caravelas,-17.73,71.73,94,3,3.94
479,Kungurtug,50.6,32.22,59,1,0.27
480,Dicabisagan,17.08,81.52,80,28,4.38
481,Vardo,39.62,42.6,71,1,3.36
482,Atuona,-9.8,80.31,77,100,17.25
483,Bredasdorp,-34.53,57.29,54,23,17.22
484,Hermanus,-34.42,56.79,69,99,11.99
485,Bilibino,68.06,18.63,78,100,3.44
486,Alofi,-19.06,80.6,61,14,3.36
487,Pisco,-13.71,63.28,88,0,14.99
488,Khatanga,71.98,-8.2,81,47,9.13
489,Chancay,-11.56,62.6,88,90,8.05
490,Manzanillo,19.05,84.2,66,20,6.93
491,Nikolskoye,59.7,24.46,73,100,11.18
492,Meulaboh,4.14,80.62,79,83,9.51
493,Port Lincoln,-34.72,61.92,63,100,21.25
494,Hamilton,43.26,37.96,93,90,4.7
495,Ribeira Grande,38.52,60.62,85,100,7.29
496,Rikitea,-23.12,77.59,72,0,3.76
497,Nishihara,35.74,67.1,72,20,5.82
498,Albany,42.65,32.49,59,90,3.36
499,Jamestown,-33.21,65.84,41,28,16.15
500,Akureyri,65.68,14.0,92,0,2.24
501,Tuktoyaktuk,69.44,23.0,92,90,6.93
502,Lebu,8.96,53.6,66,20,3.36
503,San Patricio,-26.98,71.02,94,69,4.76
504,Klyuchi,52.25,32.13,62,0,13.85
505,Georgetown,6.8,79.47,83,40,9.17
506,Shingu,33.72,68.0,56,40,4.7
507,Ahuimanu,21.44,82.83,69,40,13.87
508,Dukat,40.25,68.94,80,100,25.39
509,Goya,-29.14,66.87,74,1,8.08
510,Jamestown,-33.21,65.84,41,28,16.15
511,Ambilobe,-13.19,79.0,65,100,7.96
512,Ushuaia,-54.81,33.8,98,90,32.21
513,Airai,-8.93,86.16,36,17,8.68
514,Ponta Do Sol,-20.63,68.22,95,97,5.35
515,Lakhdenpokhya,61.52,28.99,89,100,5.99
516,Kruisfontein,-34.0,56.61,80,97,24.83
517,Vaini,15.34,66.2,100,40,1.25
518,Kapaa,22.08,82.44,65,40,17.22
519,Kasongo-Lunda,-6.48,65.25,94,32,1.14
520,Jamestown,-33.21,65.84,41,28,16.15
521,Cherskiy,68.75,27.84,74,100,10.94
522,Barrow,-38.31,61.7,39,20,10.11
523,Zhigansk,66.77,-17.06,95,69,12.71
524,Rikitea,-23.12,77.59,72,0,3.76
525,Kloulklubed,7.04,82.4,83,90,13.87
526,Cidreira,-30.17,67.59,77,31,25.19
527,Kapaa,22.08,82.44,65,40,17.22
528,Holly Springs,35.65,48.07,93,1,5.23
529,Busselton,-33.64,70.95,34,0,4.12
530,Bluff,-23.58,88.39,19,0,3.22
531,Airai,-8.93,86.16,36,17,8.68
532,Kayanza,-2.93,57.0,84,22,3.74
533,Cervo,-22.19,61.63,98,54,1.88
534,Umbuzeiro,-7.7,71.6,88,40,9.17
535,Cidreira,-30.17,67.59,77,31,25.19
536,Ushuaia,-54.81,33.8,98,90,32.21
537,Vung Tau,10.35,81.84,79,100,4.38
538,Boston,42.36,35.2,74,1,3.36
539,Kapaa,22.08,82.44,65,40,17.22
540,New Norfolk,-42.78,51.1,58,75,23.04
541,Busselton,-33.64,70.95,34,0,4.12
542,Tarauaca,-8.16,73.09,99,91,2.71
543,East London,-33.02,65.8,79,100,15.05
544,Norman Wells,65.28,10.4,78,75,5.82
545,Barabai,-2.59,93.27,41,100,2.08
546,Ushuaia,-54.81,33.8,98,90,32.21
547,Rikitea,-23.12,77.59,72,0,3.76
548,Lebu,8.96,53.6,66,20,3.36
549,Cherskiy,68.75,27.84,74,100,10.94
550,Longyearbyen,78.22,12.2,72,20,3.36
551,Tuktoyaktuk,69.44,23.0,92,90,6.93
552,Lebu,8.96,53.6,66,20,3.36
553,Billings,45.79,18.21,79,40,5.82
554,Cape Town,-33.93,58.24,62,75,4.7
555,Butaritari,3.07,84.61,74,68,10.22
556,Faanui,-16.48,80.83,81,3,16.42
557,Katobu,-4.94,97.32,33,30,4.12
558,Vestmanna,62.16,35.6,75,96,9.17
